7,10/24/2021,Las Vegas,Philadelphia,33,22,65878
7,10/24/2021,LA Rams,Detroit,28,19,71889
7,10/24/2021,Arizona,Houston,31,5,56576
7,10/24/2021,Tampa Bay,Chicago,8,3,68563
7,10/24/2021,San Francisco,Indianapolis,18,30,65635
7,10/25/2021,Seattle,New Orleans,10,13,78219
8,10/28/2021,Arizona,Green Bay,21,24,63696
8,10/31/2021,Atlanta,Carolina,13,19,63696
8,10/31/2021,Buffalo,Miami,26,11,69355
8,10/31/2021,Chicago,San Francisco,22,33,60877
8,10/31/2021,Cleveland,Pittsburgh,10,15,67431
8,10/31/2021,Detroit,Philadelphia,6,44,75973
8,10/31/2021,Indianapolis,Tennessee,31,34,47192
8,10/31/2021,NY Jets,Cincinnati,34,31,66013
8,10/31/2021,Houston,LA Rams,22,38,59175
8,10/31/2021,LA Chargers,New England,24,27,72898
8,10/31/2021,Seattle,Jacksonville,31,7,70240
8,10/31/2021,Denver,Washington,17,10,66633
8,10/31/2021,New Orleans,Tampa Bay,36,27,69170
8,10/31/2021,Minnesota,Dallas,16,20,67503
8,11/1/2021,Kansas City,NY Giants,20,17,67243
9,11/4/2021,Indianapolis,NY Jets,45,30,65948
9,11/7/2021,Cincinnati,Cleveland,16,41,72203
9,11/7/2021,Dallas,Denver,16,30,65451
9,11/7/2021,Miami,Houston,17,9,93503
9,11/7/2021,New Orleans,Atlanta,25,27,59593
9,11/7/2021,NY Giants,Las Vegas,23,16,63110
9,11/7/2021,Carolina,New England,6,24,73476
9,11/7/2021,Jacksonville,Buffalo,9,6,71785
9,11/7/2021,Baltimore,Minnesota,34,31,60232
9,11/7/2021,Philadelphia,LA Chargers,24,27,69170
9,11/7/2021,Kansas City,Green Bay,13,7,74512
9,11/7/2021,San Francisco,Arizona,17,31,69796
9,11/7/2021,LA Rams,Tennessee,16,28,60788
9,11/8/2021,Pittsburgh,Chicago,29,27,59012
10,11/11/2021,Miami,Baltimore,22,10,62400
10,11/14/2021,Dallas,Atlanta,43,3,93436
10,11/14/2021,Tennessee,New Orleans,23,21,76766
10,11/14/2021,Indianapolis,Jacksonville,23,17,78235
