10500,15000,17400,20400,14700,17000
10400,15600,14300,17500,14600,17000
10300,16300,15500,7300,14600,17000
10600,16200,12300,6600,14700,17000
11000,16200,21600,23600,14800,17000
10900,16100,21400,23200,14800,17000
10500,15600,21000,23800,14800,17000
10400,16200,21000,23800,14100,17000
10700,16200,21200,24000,14100,17000
10500,16600,19900,11200,13500,17000
10600,16500,17900,8400,13500,17000
10300,16300,21200,23800,13400,17000
10300,16300,20900,23900,13400,17000
10500,15500,21000,24000,13300,17000
10700,16600,21000,23300,13300,17000
10600,16900,21000,23300,13300,17000
10700,17000,19000,12200,13300,17000
10600,16600,16100,12100,13200,17100
10600,16500,18400,20700,13000,17000
10400,16300,18400,21000,13200,17000
9900,16300,18900,21300,14000,17000
10500,16400,18400,21400,14900,17000
10500,16200,18400,21100,12700,17000
10600,16200,17300,7900,12800,17000
10600,16200,14100,8100,12600,17000
10600,16300,17500,20500,12900,17000
10500,16200,17600,20200,13100,17000
10700,16200,17400,20600,13300,17000
10400,16200,17500,20500,14000,17000
10200,17000,17400,20300,13900,17000
10500,17000,16800,7000,13800,17100
10300,18300,12600,9400,14100,17000
10200,18300,17200,19900,13900,17000
10300,18200,14600,17700,14100,17000
10300,19100,17500,20400,14100,17000
10400,19700,16800,20100,13900,17000
10100,19500,17000,20600,14800,18000
10100,20500,14500,6000,15600,19000
10200,20600,12600,3600,17200,19100
10200,21400,21100,23500,17400,19000
10000,21600,20300,23800,18000,19000
10000,21500,20900,24500,18100,19000
10300,21300,20200,24000,18100,19000
10200,21600,21300,23700,17400,19000
10000,21500,18700,10200,17400,19000
10200,21800,16300,10200,16500,19000
10300,23200,35200,65800,17400,19000
10500,24500,31900,36400,18400,19100
10400,24100,29200,24500,17600,19000
10600,22800,32300,25100,18200,19000
9800,21600,23300,18300,17400,19000
9800,21600,21900,7700,17400,19000
10100,21700,18900,10300,16200,19000
10100,21600,20000,23400,12300,19000
10300,21300,20200,23600,11900,18500
10200,21200,19800,23900,11900,17500
10000,21000,20000,23600,11800,17000
10200,21400,20200,23500,9100,17000
10000,21300,19100,10000,9000,17000
1000,21400,16200,10200,9000,17000
9900,21700,18800,22700,9100,17000
9900,21500,20700,22800,9800,17000
7800,21300,19900,23000,10100,16900
7800,20900,18600,22100,10100,17000
7000,19000,18400,22000,10200,17000
6700,18900,18600,9300,10100,17000
7100,18400,16100,9500,10400,17000
6700,19200,18500,21400,10500,17000
7000,18200,18200,21100,12300,16900
7100,18100,18200,21300,12500,17000
7000,18400,18300,21400,13700,17000
6900,18400,18000,21400,12200,17000
6900,18400,18000,21400,12200,17000
7100,18700,14700,12900,12500,17000
7200,18300,18900,22200,13400,17000
6900,18300,17200,21100,13100,17000
6900,18200,17600,21100,10900,17000
7100,18400,17300,21300,11000,17000
7000,18300,17200,21200,11100,17000
7100,18300,16000,7400,15200,17100
6900,18400,14200,8700,18400,20100
7200,18300,19900,23100,18600,22100
7100,18300,19800,23100,18400,25000
7300,18200,19400,23100,15400,26000
7200,18200,19600,23700,15000,26000
7600,18500,19600,23500,17600,27200
6900,18300,19100,7700,18400,27500
7000,18300,17400,5400,22800,27600
7100,18300,18100,21400,24200,27700
6900,18200,17800,20800,22400,28000
6900,18400,19800,22900,22300,28400
6900,18200,20600,25000,23600,28700
7100,18200,20400,24500,25500,29000
6900,18200,20400,12000,26400,29000
7100,18300,18700,9700,26400,29000
7700,21800,27600,30000,27900,29000
7100,21900,27300,30000,25500,29000
7500,21700,26900,29700,25400,29100
7500,20600,27200,30100,23300,28500
6900,20800,26800,29900,22800,28000
7500,22100,25700,20600,22700,28000
